data,company,n,delta,Lat,Lon
2017-06-29,XIA JINGYE,2,0,45.6158,9.08152
2017-06-29,MADEBLACK SRL,36,0,45.6508,9.84802
2017-06-29,LASERGRAF SRL,42,0,45.6851,8.93814
2017-06-30,EGAL SRL,17,0,45.5962,9.01754
2017-06-30,XIA JINGYE,3,1,45.6158,9.08152
2017-06-30,MADEBLACK SRL,101,0,45.6508,9.84802
2017-06-30,LASERGRAF SRL,15,0,45.6851,8.93814
2017-07-03,EGAL SRL,30,0,45.5962,9.01754
2017-07-03,XIA JINGYE,4,3,45.6158,9.08152
2017-07-03,LASERGRAF SRL,59,0,45.6851,8.93814
2017-07-04,EGAL SRL,34,0,45.5962,9.01754
2017-07-04,XIA JINGYE,3,0,45.6158,9.08152
2017-07-04,MADEBLACK SRL,100,0,45.6508,9.84802
2017-07-04,ROLLWASCH ITALIANA SPA,1,0,45.6571,9.25614
2017-07-04,LASERGRAF SRL,63,0,45.6851,8.93814
2017-07-05,EGAL SRL,25,0,45.5962,9.01754
2017-07-05,XIA JINGYE,3,1,45.6158,9.08152
2017-07-05,MADEBLACK SRL,92,0,45.6508,9.84802
2017-07-05,LASERGRAF SRL,42,0,45.6851,8.93814
2017-07-06,EGAL SRL,32,0,45.5962,9.01754
2017-07-06,XIA JINGYE,2,1,45.6158,9.08152
2017-07-06,MADEBLACK SRL,64,0,45.6508,9.84802
2017-07-06,LASERGRAF SRL,35,0,45.6851,8.93814
2017-07-07,GESM SPA FASHION FACTORY,3,0,45.5846,10.4382
2017-07-07,EGAL SRL,29,0,45.5962,9.01754
2017-07-07,XIA JINGYE,2,0,45.6158,9.08152
2017-07-07,MADEBLACK SRL,2,0,45.6508,9.84802
2017-07-07,LASERGRAF SRL,32,0,45.6851,8.93814
2017-07-10,EGAL SRL,23,3,45.5962,9.01754
2017-07-10,MADEBLACK SRL,113,0,45.6508,9.84802
2017-07-10,LASERGRAF SRL,28,0,45.6851,8.93814
2017-07-11,EGAL SRL,20,0,45.5962,9.01754
2017-07-11,XIA JINGYE,2,0,45.6158,9.08152
2017-07-11,MADEBLACK SRL,49,0,45.6508,9.84802
2017-07-11,LASERGRAF SRL,60,0,45.6851,8.93814
2017-07-12,GESM SPA FASHION FACTORY,7,0,45.5846,10.4382
